section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-02_local,1,0.2,0.5,66.6,58.8,81.8
BU-072_1_E1_RE_SEC-02_local,2,0.4,0.5,57.3,46.9,46.7
BU-072_1_E1_RE_SEC-02_local,3,0.6,0.5,51.8,45.9,44.2
BU-072_1_E1_RE_SEC-02_local,4,0.8,0.5,50.5,51.0,48.8
BU-072_1_E1_RE_SEC-02_local,5,1.0,0.5,50.7,43.8,52.5
BU-072_1_E1_RE_SEC-02_local,6,1.2,0.5,49.8,39.9,37.4
BU-072_1_E1_RE_SEC-02_local,7,1.4,0.5,48.0,28.9,31.7
BU-072_1_E1_RE_SEC-02_local,8,1.6,0.5,45.7,25.5,26.9
BU-072_1_E1_RE_SEC-02_local,9,1.8,0.5,42.8,22.9,18.1
BU-072_1_E1_RE_SEC-02_local,10,2.0,0.5,40.0,24.0,27.7
BU-072_1_E1_RE_SEC-02_local,11,2.2,0.5,39.6,28.7,27.8
BU-072_1_E1_RE_SEC-02_local,12,2.4,0.5,38.1,25.5,24.0
BU-072_1_E1_RE_SEC-02_local,13,2.6,0.5,37.3,28.1,28.9
BU-072_1_E1_RE_SEC-02_local,14,2.8,0.5,36.9,34.2,33.1
BU-072_1_E1_RE_SEC-02_local,15,3.0,0.5,36.9,29.8,33.7
BU-072_1_E1_RE_SEC-02_local,16,3.2,0.5,36.2,25.2,21.4
BU-072_1_E1_RE_SEC-02_local,17,3.4,0.5,35.0,23.7,25.1
BU-072_1_E1_RE_SEC-02_local,18,3.6,0.5,34.6,28.0,31.0
BU-072_1_E1_RE_SEC-02_local,19,3.8,0.5,34.6,28.6,29.6
BU-072_1_E1_RE_SEC-02_local,20,4.0,0.5,34.3,23.9,25.1
BU-072_1_E1_RE_SEC-02_local,21,4.2,0.5,33.7,21.4,20.0
BU-072_1_E1_RE_SEC-02_local,22,4.4,0.5,32.9,27.5,25.5
BU-072_1_E1_RE_SEC-02_local,23,4.6,0.5,33.0,32.5,35.3
BU-072_1_E1_RE_SEC-02_local,24,4.8,0.5,33.1,36.7,36.5
BU-072_1_E1_RE_SEC-02_local,25,5.0,0.5,33.2,39.8,39.4
BU-072_1_E1_RE_SEC-02_local,26,5.2,0.5,33.7,34.4,41.1
BU-072_1_E1_RE_SEC-02_local,27,5.4,0.5,33.6,32.9,29.3
BU-072_1_E1_RE_SEC-02_local,28,5.6,0.5,33.4,27.8,30.8
BU-072_1_E1_RE_SEC-02_local,29,5.8,0.5,33.1,33.1,30.4
BU-072_1_E1_RE_SEC-02_local,30,6.0,0.5,33.3,37.6,37.7
BU-072_1_E1_RE_SEC-02_local,31,6.2,0.5,33.5,38.0,39.1
BU-072_1_E1_RE_SEC-02_local,32,6.4,0.5,33.7,34.4,35.3
BU-072_1_E1_RE_SEC-02_local,33,6.6,0.5,33.6,27.0,27.2
BU-072_1_E1_RE_SEC-02_local,34,6.8,0.5,33.3,28.1,25.2
BU-072_1_E1_RE_SEC-02_local,35,7.0,0.5,33.1,30.7,31.2
BU-072_1_E1_RE_SEC-02_local,36,7.2,0.5,33.1,36.1,35.0
BU-072_1_E1_RE_SEC-02_local,37,7.4,0.5,33.2,33.9,37.2
BU-072_1_E1_RE_SEC-02_local,38,7.6,0.5,33.3,32.0,29.7
BU-072_1_E1_RE_SEC-02_local,39,7.8,0.5,33.1,30.7,31.0
BU-072_1_E1_RE_SEC-02_local,40,8.0,0.5,33.1,39.9,38.6
BU-072_1_E1_RE_SEC-02_local,41,8.2,0.5,33.4,43.5,46.5
BU-072_1_E1_RE_SEC-02_local,42,8.4,0.5,33.7,43.7,41.9
BU-072_1_E1_RE_SEC-02_local,43,8.6,0.5,33.8,45.4,45.7
BU-072_1_E1_RE_SEC-02_local,44,8.8,0.5,34.2,49.5,49.6
BU-072_1_E1_RE_SEC-02_local,45,9.0,0.5,34.5,49.6,50.0
BU-072_1_E1_RE_SEC-02_local,46,9.2,0.5,34.9,51.6,51.7
BU-072_1_E1_RE_SEC-02_local,47,9.4,0.5,35.2,53.2,54.7
BU-072_1_E1_RE_SEC-02_local,48,9.6,0.5,35.7,54.6,54.5
BU-072_1_E1_RE_SEC-02_local,49,9.8,0.5,36.0,54.1,55.5
BU-072_1_E1_RE_SEC-02_local,50,10.0,0.5,36.4,45.7,47.3
BU-072_1_E1_RE_SEC-02_local,51,10.2,0.5,36.4,36.1,31.8
BU-072_1_E1_RE_SEC-02_local,52,10.4,0.5,36.3,30.5,29.7
BU-072_1_E1_RE_SEC-02_local,53,10.6,0.5,36.2,32.4,34.7
BU-072_1_E1_RE_SEC-02_local,54,10.8,0.5,36.3,31.8,31.3
BU-072_1_E1_RE_SEC-02_local,55,11.0,0.5,36.1,28.1,28.1
BU-072_1_E1_RE_SEC-02_local,56,11.2,0.5,35.9,28.9,29.9
BU-072_1_E1_RE_SEC-02_local,57,11.4,0.5,35.8,39.4,41.9
BU-072_1_E1_RE_SEC-02_local,58,11.6,0.5,36.1,37.2,38.9
BU-072_1_E1_RE_SEC-02_local,59,11.8,0.5,35.9,35.4,30.6
BU-072_1_E1_RE_SEC-02_local,60,12.0,0.5,36.0,39.9,42.1
BU-072_1_E1_RE_SEC-02_local,61,12.2,0.5,36.1,43.4,42.0
BU-072_1_E1_RE_SEC-02_local,62,12.4,0.5,36.2,43.8,44.6
BU-072_1_E1_RE_SEC-02_local,63,12.6,0.5,36.4,41.2,41.2
BU-072_1_E1_RE_SEC-02_local,64,12.8,0.5,36.3,39.0,36.0
BU-072_1_E1_RE_SEC-02_local,65,13.0,0.5,36.3,39.6,38.5
BU-072_1_E1_RE_SEC-02_local,66,13.2,0.5,36.4,47.6,45.7
BU-072_1_E1_RE_SEC-02_local,67,13.4,0.5,36.6,48.2,50.4
BU-072_1_E1_RE_SEC-02_local,68,13.6,0.5,36.8,50.1,46.5
BU-072_1_E1_RE_SEC-02_local,69,13.8,0.5,37.0,50.5,53.1
BU-072_1_E1_RE_SEC-02_local,70,14.0,0.5,37.2,49.7,48.9
BU-072_1_E1_RE_SEC-02_local,71,14.2,0.5,37.3,42.3,42.4
BU-072_1_E1_RE_SEC-02_local,72,14.4,0.5,37.4,45.2,44.9
BU-072_1_E1_RE_SEC-02_local,73,14.6,0.5,37.5,49.0,50.6
BU-072_1_E1_RE_SEC-02_local,74,14.8,0.5,37.8,50.9,50.7
BU-072_1_E1_RE_SEC-02_local,75,15.0,0.5,37.9,44.3,43.1
