section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-04_local,1,1.0,1.0,74.1,72.3,71.5
BU-072_1_E1_RE_SEC-04_local,2,2.0,1.0,72.3,63.0,70.1
BU-072_1_E1_RE_SEC-04_local,3,3.0,1.0,61.8,26.3,27.0
BU-072_1_E1_RE_SEC-04_local,4,4.0,1.0,52.9,26.5,29.2
BU-072_1_E1_RE_SEC-04_local,5,5.0,1.0,47.0,28.8,29.2
BU-072_1_E1_RE_SEC-04_local,6,6.0,1.0,45.0,31.5,34.5
BU-072_1_E1_RE_SEC-04_local,7,7.0,1.0,43.0,35.0,36.1
BU-072_1_E1_RE_SEC-04_local,8,8.0,1.0,42.9,43.6,45.4
BU-072_1_E1_RE_SEC-04_local,9,9.0,1.0,43.0,47.6,51.5
BU-072_1_E1_RE_SEC-04_local,10,10.0,1.0,42.1,17.0,14.1
BU-072_1_E1_RE_SEC-04_local,11,11.0,1.0,39.8,21.3,18.7
BU-072_1_E1_RE_SEC-04_local,12,12.0,1.0,38.4,27.7,26.2
BU-072_1_E1_RE_SEC-04_local,13,13.0,1.0,38.1,43.8,44.6
BU-072_1_E1_RE_SEC-04_local,14,14.0,1.0,38.6,23.3,27.4
