section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-10_local,1,0.5,0.5,114.1,74.9,72.4
BU-072_1_E1_RE_SEC-10_local,2,1.0,0.5,89.5,65.3,62.0
BU-072_1_E1_RE_SEC-10_local,3,1.5,0.5,84.7,81.6,80.6
BU-072_1_E1_RE_SEC-10_local,4,2.0,0.5,83.5,82.0,81.5
BU-072_1_E1_RE_SEC-10_local,5,2.5,0.5,84.3,96.2,96.7
BU-072_1_E1_RE_SEC-10_local,6,3.0,0.5,87.2,102.2,104.2
BU-072_1_E1_RE_SEC-10_local,7,3.5,0.5,89.8,101.5,107.0
BU-072_1_E1_RE_SEC-10_local,8,4.0,0.5,89.6,79.4,77.4
BU-072_1_E1_RE_SEC-10_local,9,4.5,0.5,87.7,73.6,73.8
BU-072_1_E1_RE_SEC-10_local,10,5.0,0.5,86.4,73.8,72.5
BU-072_1_E1_RE_SEC-10_local,11,5.5,0.5,85.5,77.3,76.5
BU-072_1_E1_RE_SEC-10_local,12,6.0,0.5,84.6,72.3,72.7
BU-072_1_E1_RE_SEC-10_local,13,6.5,0.5,83.6,61.4,63.6
BU-072_1_E1_RE_SEC-10_local,14,7.0,0.5,80.6,13.8,15.9
BU-072_1_E1_RE_SEC-10_local,15,7.5,0.5,76.7,3.8,4.8
BU-072_1_E1_RE_SEC-10_local,16,8.0,0.5,72.2,2.4,4.4
BU-072_1_E1_RE_SEC-10_local,17,8.5,0.5,69.0,24.3,24.8
BU-072_1_E1_RE_SEC-10_local,18,9.0,0.5,66.0,23.4,22.6
BU-072_1_E1_RE_SEC-10_local,19,9.5,0.5,63.6,26.4,26.4
BU-072_1_E1_RE_SEC-10_local,20,10.0,0.5,61.6,32.1,33.6
BU-072_1_E1_RE_SEC-10_local,21,10.5,0.5,59.6,7.9,11.4
BU-072_1_E1_RE_SEC-10_local,22,11.0,0.5,57.1,11.8,12.7
BU-072_1_E1_RE_SEC-10_local,23,11.5,0.5,54.9,17.2,16.1
BU-072_1_E1_RE_SEC-10_local,24,12.0,0.5,53.1,12.1,12.8
BU-072_1_E1_RE_SEC-10_local,25,12.5,0.5,51.1,11.7,11.1
BU-072_1_E1_RE_SEC-10_local,26,13.0,0.5,49.4,7.8,9.9
BU-072_1_E1_RE_SEC-10_local,27,13.5,0.5,47.6,7.6,3.0
BU-072_1_E1_RE_SEC-10_local,28,14.0,0.5,46.3,29.7,32.2
BU-072_1_E1_RE_SEC-10_local,29,14.5,0.5,45.6,29.3,29.7
