section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-03_local,1,1.0,0.5,56.0,47.4,49.5
BU-072_1_E1_RE_SEC-03_local,2,2.0,0.5,46.6,32.4,33.4
BU-072_1_E1_RE_SEC-03_local,3,3.0,0.5,42.2,34.9,35.7
BU-072_1_E1_RE_SEC-03_local,4,4.0,0.5,38.9,30.1,30.3
BU-072_1_E1_RE_SEC-03_local,5,5.0,0.5,37.0,31.5,34.2
BU-072_1_E1_RE_SEC-03_local,6,6.0,0.5,37.5,47.8,50.2
BU-072_1_E1_RE_SEC-03_local,7,7.0,0.5,37.2,29.9,29.4
BU-072_1_E1_RE_SEC-03_local,8,8.0,0.5,37.2,41.5,42.4
BU-072_1_E1_RE_SEC-03_local,9,9.0,0.5,38.7,51.3,50.3
BU-072_1_E1_RE_SEC-03_local,10,10.0,0.5,40.9,44.8,40.2
BU-072_1_E1_RE_SEC-03_local,11,11.0,0.5,39.8,26.9,25.7
BU-072_1_E1_RE_SEC-03_local,12,12.0,0.5,39.0,36.3,35.0
BU-072_1_E1_RE_SEC-03_local,13,13.0,0.5,38.9,34.7,35.4
BU-072_1_E1_RE_SEC-03_local,14,14.0,0.5,38.9,44.0,42.8
