section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-08_local,1,1.0,0.2,89.3,63.7,64.5
BU-072_1_E1_RE_SEC-08_local,2,2.0,0.2,82.7,78.2,78.4
BU-072_1_E1_RE_SEC-08_local,3,3.0,0.2,75.2,58.4,57.7
BU-072_1_E1_RE_SEC-08_local,4,4.0,0.2,70.2,44.2,47.8
BU-072_1_E1_RE_SEC-08_local,5,5.0,0.2,66.3,50.4,50.2
BU-072_1_E1_RE_SEC-08_local,6,6.0,0.2,67.2,69.9,69.0
BU-072_1_E1_RE_SEC-08_local,7,7.0,0.2,64.8,42.4,47.5
BU-072_1_E1_RE_SEC-08_local,8,8.0,0.2,61.9,37.9,32.1
BU-072_1_E1_RE_SEC-08_local,9,9.0,0.2,60.2,41.2,40.8
BU-072_1_E1_RE_SEC-08_local,10,10.0,0.2,57.9,40.2,37.1
BU-072_1_E1_RE_SEC-08_local,11,11.0,0.2,56.6,63.0,64.8
BU-072_1_E1_RE_SEC-08_local,12,12.0,0.2,53.3,8.9,9.5
BU-072_1_E1_RE_SEC-08_local,13,13.0,0.2,49.5,9.6,9.0
BU-072_1_E1_RE_SEC-08_local,14,14.0,0.2,46.1,11.2,11.8
BU-072_1_E1_RE_SEC-08_local,15,15.0,0.2,42.8,15.9,17.4
