section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-02_local,1,1.0,0.5,50.7,43.8,52.5
BU-072_1_E1_RE_SEC-02_local,2,2.0,0.5,40.0,24.0,27.7
BU-072_1_E1_RE_SEC-02_local,3,3.0,0.5,36.9,29.8,33.7
BU-072_1_E1_RE_SEC-02_local,4,4.0,0.5,34.3,23.9,25.1
BU-072_1_E1_RE_SEC-02_local,5,5.0,0.5,33.2,39.8,39.4
BU-072_1_E1_RE_SEC-02_local,6,6.0,0.5,33.3,37.6,37.7
BU-072_1_E1_RE_SEC-02_local,7,7.0,0.5,33.1,30.7,31.2
BU-072_1_E1_RE_SEC-02_local,8,8.0,0.5,33.1,39.9,38.6
BU-072_1_E1_RE_SEC-02_local,9,9.0,0.5,34.5,49.6,50.0
BU-072_1_E1_RE_SEC-02_local,10,10.0,0.5,36.4,45.7,47.3
BU-072_1_E1_RE_SEC-02_local,11,11.0,0.5,36.1,28.1,28.1
BU-072_1_E1_RE_SEC-02_local,12,12.0,0.5,36.0,39.9,42.1
BU-072_1_E1_RE_SEC-02_local,13,13.0,0.5,36.3,39.6,38.5
BU-072_1_E1_RE_SEC-02_local,14,14.0,0.5,37.2,49.7,48.9
BU-072_1_E1_RE_SEC-02_local,15,15.0,0.5,37.9,44.3,43.1
