section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-07_local,1,0.5,0.5,42.9,48.7,48.7
BU-072_1_E1_RE_SEC-07_local,2,1.0,0.5,45.6,44.3,44.8
BU-072_1_E1_RE_SEC-07_local,3,1.5,0.5,40.2,18.7,18.2
BU-072_1_E1_RE_SEC-07_local,4,2.0,0.5,35.8,31.2,28.3
BU-072_1_E1_RE_SEC-07_local,5,2.5,0.5,37.3,57.9,58.6
BU-072_1_E1_RE_SEC-07_local,6,3.0,0.5,42.2,69.5,71.8
BU-072_1_E1_RE_SEC-07_local,7,3.5,0.5,47.0,71.8,74.6
BU-072_1_E1_RE_SEC-07_local,8,4.0,0.5,49.0,65.4,66.5
BU-072_1_E1_RE_SEC-07_local,9,4.5,0.5,49.5,53.2,53.3
BU-072_1_E1_RE_SEC-07_local,10,5.0,0.5,52.1,81.5,80.8
BU-072_1_E1_RE_SEC-07_local,11,5.5,0.5,55.0,89.3,88.3
BU-072_1_E1_RE_SEC-07_local,12,6.0,0.5,58.6,99.1,99.0
BU-072_1_E1_RE_SEC-07_local,13,6.5,0.5,61.3,91.8,92.0
BU-072_1_E1_RE_SEC-07_local,14,7.0,0.5,62.4,32.2,40.2
BU-072_1_E1_RE_SEC-07_local,15,7.5,0.5,59.9,24.8,22.4
BU-072_1_E1_RE_SEC-07_local,16,8.0,0.5,58.4,26.8,21.1
BU-072_1_E1_RE_SEC-07_local,17,8.5,0.5,57.1,19.0,22.0
