section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-04_local,1,1.0,0.2,74.1,66.4,67.2
BU-072_1_E1_RE_SEC-04_local,2,2.0,0.2,72.3,80.2,74.3
BU-072_1_E1_RE_SEC-04_local,3,3.0,0.2,61.8,29.5,29.5
BU-072_1_E1_RE_SEC-04_local,4,4.0,0.2,52.9,38.6,39.3
BU-072_1_E1_RE_SEC-04_local,5,5.0,0.2,47.0,34.9,34.4
BU-072_1_E1_RE_SEC-04_local,6,6.0,0.2,45.0,39.9,40.7
BU-072_1_E1_RE_SEC-04_local,7,7.0,0.2,43.0,39.0,39.4
BU-072_1_E1_RE_SEC-04_local,8,8.0,0.2,42.9,49.5,49.5
BU-072_1_E1_RE_SEC-04_local,9,9.0,0.2,43.0,47.7,46.4
BU-072_1_E1_RE_SEC-04_local,10,10.0,0.2,42.1,8.9,13.5
BU-072_1_E1_RE_SEC-04_local,11,11.0,0.2,39.8,13.6,13.6
BU-072_1_E1_RE_SEC-04_local,12,12.0,0.2,38.4,35.7,37.8
BU-072_1_E1_RE_SEC-04_local,13,13.0,0.2,38.1,43.6,45.1
BU-072_1_E1_RE_SEC-04_local,14,14.0,0.2,38.6,32.2,36.5
BU-072_1_E1_RE_SEC-04_local,15,15.0,0.2,36.3,2.6,0.3
