section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-03_local,1,1.0,1.0,56.0,46.9,47.7
BU-072_1_E1_RE_SEC-03_local,2,2.0,1.0,46.6,32.4,32.2
BU-072_1_E1_RE_SEC-03_local,3,3.0,1.0,42.2,32.0,32.3
BU-072_1_E1_RE_SEC-03_local,4,4.0,1.0,38.9,30.7,31.1
BU-072_1_E1_RE_SEC-03_local,5,5.0,1.0,37.0,33.5,33.3
BU-072_1_E1_RE_SEC-03_local,6,6.0,1.0,37.5,43.4,46.0
BU-072_1_E1_RE_SEC-03_local,7,7.0,1.0,37.2,31.4,30.4
BU-072_1_E1_RE_SEC-03_local,8,8.0,1.0,37.2,43.5,42.0
BU-072_1_E1_RE_SEC-03_local,9,9.0,1.0,38.7,55.8,53.5
BU-072_1_E1_RE_SEC-03_local,10,10.0,1.0,40.9,47.4,45.7
BU-072_1_E1_RE_SEC-03_local,11,11.0,1.0,39.8,28.5,28.0
BU-072_1_E1_RE_SEC-03_local,12,12.0,1.0,39.0,33.1,33.5
BU-072_1_E1_RE_SEC-03_local,13,13.0,1.0,38.9,36.7,35.4
BU-072_1_E1_RE_SEC-03_local,14,14.0,1.0,38.9,46.0,45.8
