section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-08_local,1,1.0,1.0,89.3,69.6,68.7
BU-072_1_E1_RE_SEC-08_local,2,2.0,1.0,82.7,72.8,78.5
BU-072_1_E1_RE_SEC-08_local,3,3.0,1.0,75.2,59.0,58.1
BU-072_1_E1_RE_SEC-08_local,4,4.0,1.0,70.2,54.8,52.6
BU-072_1_E1_RE_SEC-08_local,5,5.0,1.0,66.3,55.5,54.8
BU-072_1_E1_RE_SEC-08_local,6,6.0,1.0,67.2,68.8,70.6
BU-072_1_E1_RE_SEC-08_local,7,7.0,1.0,64.8,43.2,43.8
BU-072_1_E1_RE_SEC-08_local,8,8.0,1.0,61.9,43.3,43.1
BU-072_1_E1_RE_SEC-08_local,9,9.0,1.0,60.2,42.2,40.1
BU-072_1_E1_RE_SEC-08_local,10,10.0,1.0,57.9,39.0,43.8
BU-072_1_E1_RE_SEC-08_local,11,11.0,1.0,56.6,40.2,43.7
BU-072_1_E1_RE_SEC-08_local,12,12.0,1.0,53.3,0.8,0.8
BU-072_1_E1_RE_SEC-08_local,13,13.0,1.0,49.5,9.1,9.8
BU-072_1_E1_RE_SEC-08_local,14,14.0,1.0,46.1,10.3,10.1
