section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-05_local,1,1.0,1.0,76.8,65.1,64.0
BU-072_1_E1_RE_SEC-05_local,2,2.0,1.0,70.0,56.9,57.3
BU-072_1_E1_RE_SEC-05_local,3,3.0,1.0,65.2,57.6,55.3
BU-072_1_E1_RE_SEC-05_local,4,4.0,1.0,62.5,59.7,59.7
BU-072_1_E1_RE_SEC-05_local,5,5.0,1.0,62.1,57.8,60.2
BU-072_1_E1_RE_SEC-05_local,6,6.0,1.0,61.9,59.4,61.5
BU-072_1_E1_RE_SEC-05_local,7,7.0,1.0,61.2,60.6,62.4
BU-072_1_E1_RE_SEC-05_local,8,8.0,1.0,62.1,51.7,57.2
BU-072_1_E1_RE_SEC-05_local,9,9.0,1.0,58.6,37.3,40.4
BU-072_1_E1_RE_SEC-05_local,10,10.0,1.0,58.0,39.0,39.1
BU-072_1_E1_RE_SEC-05_local,11,11.0,1.0,54.6,20.4,22.2
BU-072_1_E1_RE_SEC-05_local,12,12.0,1.0,51.6,18.3,18.0
BU-072_1_E1_RE_SEC-05_local,13,13.0,1.0,49.4,27.7,31.2
BU-072_1_E1_RE_SEC-05_local,14,14.0,1.0,48.2,37.2,34.3
BU-072_1_E1_RE_SEC-05_local,15,15.0,1.0,47.1,40.8,39.6
