section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-04_local,1,0.5,0.5,75.7,70.3,65.2
BU-072_1_E1_RE_SEC-04_local,2,1.0,0.5,74.1,69.0,69.3
BU-072_1_E1_RE_SEC-04_local,3,1.5,0.5,73.4,72.4,74.3
BU-072_1_E1_RE_SEC-04_local,4,2.0,0.5,72.3,75.1,74.0
BU-072_1_E1_RE_SEC-04_local,5,2.5,0.5,69.2,29.7,27.7
BU-072_1_E1_RE_SEC-04_local,6,3.0,0.5,61.8,27.0,27.2
BU-072_1_E1_RE_SEC-04_local,7,3.5,0.5,56.7,20.9,19.6
BU-072_1_E1_RE_SEC-04_local,8,4.0,0.5,52.9,30.3,34.2
BU-072_1_E1_RE_SEC-04_local,9,4.5,0.5,49.7,22.4,22.2
BU-072_1_E1_RE_SEC-04_local,10,5.0,0.5,47.0,30.7,32.1
BU-072_1_E1_RE_SEC-04_local,11,5.5,0.5,45.9,33.2,35.3
BU-072_1_E1_RE_SEC-04_local,12,6.0,0.5,45.0,37.1,39.3
BU-072_1_E1_RE_SEC-04_local,13,6.5,0.5,43.6,27.4,23.6
BU-072_1_E1_RE_SEC-04_local,14,7.0,0.5,43.0,36.8,36.7
BU-072_1_E1_RE_SEC-04_local,15,7.5,0.5,42.4,41.8,40.3
BU-072_1_E1_RE_SEC-04_local,16,8.0,0.5,42.9,44.7,47.1
BU-072_1_E1_RE_SEC-04_local,17,8.5,0.5,42.5,41.4,40.4
BU-072_1_E1_RE_SEC-04_local,18,9.0,0.5,43.0,53.2,51.9
BU-072_1_E1_RE_SEC-04_local,19,9.5,0.5,43.0,33.9,27.6
BU-072_1_E1_RE_SEC-04_local,20,10.0,0.5,42.1,10.7,9.4
BU-072_1_E1_RE_SEC-04_local,21,10.5,0.5,40.7,19.6,19.3
BU-072_1_E1_RE_SEC-04_local,22,11.0,0.5,39.8,17.4,15.4
BU-072_1_E1_RE_SEC-04_local,23,11.5,0.5,39.0,25.3,28.0
BU-072_1_E1_RE_SEC-04_local,24,12.0,0.5,38.4,26.2,28.1
BU-072_1_E1_RE_SEC-04_local,25,12.5,0.5,38.1,36.0,36.9
BU-072_1_E1_RE_SEC-04_local,26,13.0,0.5,38.1,43.5,43.5
BU-072_1_E1_RE_SEC-04_local,27,13.5,0.5,38.5,44.9,41.1
BU-072_1_E1_RE_SEC-04_local,28,14.0,0.5,38.6,27.2,31.5
BU-072_1_E1_RE_SEC-04_local,29,14.5,0.5,37.5,3.0,6.9
BU-072_1_E1_RE_SEC-04_local,30,15.0,0.5,36.3,4.2,2.9
