section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-06_local,1,1.0,0.5,68.4,50.6,50.6
BU-072_1_E1_RE_SEC-06_local,2,2.0,0.5,51.5,28.3,29.9
BU-072_1_E1_RE_SEC-06_local,3,3.0,0.5,46.8,47.8,45.4
BU-072_1_E1_RE_SEC-06_local,4,4.0,0.5,51.8,85.7,86.4
BU-072_1_E1_RE_SEC-06_local,5,5.0,0.5,60.7,99.3,101.6
BU-072_1_E1_RE_SEC-06_local,6,6.0,0.5,66.5,88.9,88.9
BU-072_1_E1_RE_SEC-06_local,7,7.0,0.5,68.9,75.6,76.5
BU-072_1_E1_RE_SEC-06_local,8,8.0,0.5,69.4,71.5,71.2
BU-072_1_E1_RE_SEC-06_local,9,9.0,0.5,69.5,50.8,51.5
BU-072_1_E1_RE_SEC-06_local,10,10.0,0.5,65.7,29.4,28.5
BU-072_1_E1_RE_SEC-06_local,11,11.0,0.5,63.1,45.8,50.6
BU-072_1_E1_RE_SEC-06_local,12,12.0,0.5,61.4,35.6,42.9
BU-072_1_E1_RE_SEC-06_local,13,13.0,0.5,60.3,53.6,54.0
BU-072_1_E1_RE_SEC-06_local,14,14.0,0.5,59.1,14.9,20.7
BU-072_1_E1_RE_SEC-06_local,15,15.0,0.5,56.7,30.9,30.4
