section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
BU-072_1_E1_RE_SEC-01_local,1,0.2,0.5,76.3,68.6,95.9
BU-072_1_E1_RE_SEC-01_local,2,0.4,0.5,63.6,46.2,46.1
BU-072_1_E1_RE_SEC-01_local,3,0.6,0.5,55.6,39.9,39.3
BU-072_1_E1_RE_SEC-01_local,4,0.8,0.5,50.9,35.5,37.1
BU-072_1_E1_RE_SEC-01_local,5,1.0,0.5,47.3,34.3,33.2
BU-072_1_E1_RE_SEC-01_local,6,1.2,0.5,45.2,27.4,28.8
BU-072_1_E1_RE_SEC-01_local,7,1.4,0.5,41.6,25.1,22.1
BU-072_1_E1_RE_SEC-01_local,8,1.6,0.5,39.1,27.0,27.7
BU-072_1_E1_RE_SEC-01_local,9,1.8,0.5,38.4,29.2,30.0
BU-072_1_E1_RE_SEC-01_local,10,2.0,0.5,37.3,26.2,26.3
BU-072_1_E1_RE_SEC-01_local,11,2.2,0.5,36.3,24.9,22.8
BU-072_1_E1_RE_SEC-01_local,12,2.4,0.5,35.2,23.4,26.2
BU-072_1_E1_RE_SEC-01_local,13,2.6,0.5,34.3,30.7,29.9
BU-072_1_E1_RE_SEC-01_local,14,2.8,0.5,34.5,32.4,34.4
BU-072_1_E1_RE_SEC-01_local,15,3.0,0.5,34.3,31.4,31.1
BU-072_1_E1_RE_SEC-01_local,16,3.2,0.5,34.0,30.2,28.6
BU-072_1_E1_RE_SEC-01_local,17,3.4,0.5,33.7,31.1,31.1
BU-072_1_E1_RE_SEC-01_local,18,3.6,0.5,33.6,33.5,33.0
BU-072_1_E1_RE_SEC-01_local,19,3.8,0.5,33.6,38.1,37.3
BU-072_1_E1_RE_SEC-01_local,20,4.0,0.5,34.1,40.5,41.0
BU-072_1_E1_RE_SEC-01_local,21,4.2,0.5,34.4,38.7,39.7
BU-072_1_E1_RE_SEC-01_local,22,4.4,0.5,34.6,32.7,33.1
BU-072_1_E1_RE_SEC-01_local,23,4.6,0.5,34.4,34.6,31.5
BU-072_1_E1_RE_SEC-01_local,24,4.8,0.5,34.5,30.7,35.0
BU-072_1_E1_RE_SEC-01_local,25,5.0,0.5,34.2,27.4,24.6
BU-072_1_E1_RE_SEC-01_local,26,5.2,0.5,33.8,19.7,20.2
BU-072_1_E1_RE_SEC-01_local,27,5.4,0.5,33.1,19.0,17.8
BU-072_1_E1_RE_SEC-01_local,28,5.6,0.5,32.6,16.8,16.1
BU-072_1_E1_RE_SEC-01_local,29,5.8,0.5,32.0,20.3,22.1
BU-072_1_E1_RE_SEC-01_local,30,6.0,0.5,31.8,22.0,23.1
BU-072_1_E1_RE_SEC-01_local,31,6.2,0.5,31.4,22.2,21.5
BU-072_1_E1_RE_SEC-01_local,32,6.4,0.5,31.2,25.0,26.0
BU-072_1_E1_RE_SEC-01_local,33,6.6,0.5,31.1,23.6,25.0
BU-072_1_E1_RE_SEC-01_local,34,6.8,0.5,30.8,12.0,13.3
BU-072_1_E1_RE_SEC-01_local,35,7.0,0.5,30.1,0.7,2.5
BU-072_1_E1_RE_SEC-01_local,36,7.2,0.5,29.3,21.3,22.2
BU-072_1_E1_RE_SEC-01_local,37,7.4,0.5,27.9,44.8,48.1
BU-072_1_E1_RE_SEC-01_local,38,7.6,0.5,26.3,38.2,37.9
BU-072_1_E1_RE_SEC-01_local,39,7.8,0.5,25.4,11.1,16.0
BU-072_1_E1_RE_SEC-01_local,40,8.0,0.5,24.7,3.6,173.9
BU-072_1_E1_RE_SEC-01_local,41,8.2,0.5,24.3,7.3,5.8
BU-072_1_E1_RE_SEC-01_local,42,8.4,0.5,23.7,14.6,17.2
BU-072_1_E1_RE_SEC-01_local,43,8.6,0.5,24.0,19.6,21.0
BU-072_1_E1_RE_SEC-01_local,44,8.8,0.5,23.7,21.0,18.2
BU-072_1_E1_RE_SEC-01_local,45,9.0,0.5,23.7,23.3,26.5
BU-072_1_E1_RE_SEC-01_local,46,9.2,0.5,23.6,25.1,22.4
BU-072_1_E1_RE_SEC-01_local,47,9.4,0.5,23.6,21.0,23.3
BU-072_1_E1_RE_SEC-01_local,48,9.6,0.5,23.7,16.7,17.4
BU-072_1_E1_RE_SEC-01_local,49,9.8,0.5,23.5,3.0,3.7
BU-072_1_E1_RE_SEC-01_local,50,10.0,0.5,22.8,6.9,3.1
BU-072_1_E1_RE_SEC-01_local,51,10.2,0.5,22.6,15.2,18.2
BU-072_1_E1_RE_SEC-01_local,52,10.4,0.5,22.6,16.6,16.2
BU-072_1_E1_RE_SEC-01_local,53,10.6,0.5,22.5,15.5,14.2
BU-072_1_E1_RE_SEC-01_local,54,10.8,0.5,22.3,15.8,17.1
BU-072_1_E1_RE_SEC-01_local,55,11.0,0.5,22.2,25.2,26.1
BU-072_1_E1_RE_SEC-01_local,56,11.2,0.5,22.4,25.0,29.4
BU-072_1_E1_RE_SEC-01_local,57,11.4,0.5,22.4,27.6,24.7
BU-072_1_E1_RE_SEC-01_local,58,11.6,0.5,22.6,25.7,28.3
BU-072_1_E1_RE_SEC-01_local,59,11.8,0.5,22.6,30.0,28.9
BU-072_1_E1_RE_SEC-01_local,60,12.0,0.5,22.8,32.7,31.2
BU-072_1_E1_RE_SEC-01_local,61,12.2,0.5,22.8,36.9,38.6
BU-072_1_E1_RE_SEC-01_local,62,12.4,0.5,23.3,43.0,43.1
BU-072_1_E1_RE_SEC-01_local,63,12.6,0.5,23.5,40.2,40.4
BU-072_1_E1_RE_SEC-01_local,64,12.8,0.5,23.8,41.9,42.6
BU-072_1_E1_RE_SEC-01_local,65,13.0,0.5,24.1,42.5,43.0
BU-072_1_E1_RE_SEC-01_local,66,13.2,0.5,24.4,40.6,41.8
BU-072_1_E1_RE_SEC-01_local,67,13.4,0.5,24.6,41.5,42.7
BU-072_1_E1_RE_SEC-01_local,68,13.6,0.5,24.9,46.2,47.7
BU-072_1_E1_RE_SEC-01_local,69,13.8,0.5,25.3,47.0,48.7
BU-072_1_E1_RE_SEC-01_local,70,14.0,0.5,25.6,45.4,45.9
BU-072_1_E1_RE_SEC-01_local,71,14.2,0.5,25.9,50.1,50.0
BU-072_1_E1_RE_SEC-01_local,72,14.4,0.5,26.3,54.0,55.1
