section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
WEM-60_1_E1_RE_SEC-08_local,1,1.0,0.5,83.6,63.6,69.1
WEM-60_1_E1_RE_SEC-08_local,2,2.0,0.5,70.7,57.4,57.7
WEM-60_1_E1_RE_SEC-08_local,3,3.0,0.5,66.2,66.9,69.0
WEM-60_1_E1_RE_SEC-08_local,4,4.0,0.5,66.2,57.1,55.7
WEM-60_1_E1_RE_SEC-08_local,5,5.0,0.5,63.5,55.6,60.2
WEM-60_1_E1_RE_SEC-08_local,6,6.0,0.5,64.5,81.7,86.0
WEM-60_1_E1_RE_SEC-08_local,7,7.0,0.5,62.8,48.7,45.9
WEM-60_1_E1_RE_SEC-08_local,8,8.0,0.5,62.6,55.6,53.0
WEM-60_1_E1_RE_SEC-08_local,9,9.0,0.5,63.4,67.1,77.6
WEM-60_1_E1_RE_SEC-08_local,10,10.0,0.5,62.4,43.7,47.7
WEM-60_1_E1_RE_SEC-08_local,11,11.0,0.5,62.7,57.8,56.2
WEM-60_1_E1_RE_SEC-08_local,12,12.0,0.5,62.6,58.7,56.2
WEM-60_1_E1_RE_SEC-08_local,13,13.0,0.5,62.2,63.4,59.6
WEM-60_1_E1_RE_SEC-08_local,14,14.0,0.5,61.9,58.3,59.3
WEM-60_1_E1_RE_SEC-08_local,15,15.0,0.5,61.5,56.0,54.9
