section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
WEM-60_1_E1_RE_SEC-06_local,1,1.0,0.5,82.1,63.5,59.3
WEM-60_1_E1_RE_SEC-06_local,2,2.0,0.5,71.0,64.1,64.2
WEM-60_1_E1_RE_SEC-06_local,3,3.0,0.5,68.2,71.8,71.8
WEM-60_1_E1_RE_SEC-06_local,4,4.0,0.5,67.1,57.4,57.3
WEM-60_1_E1_RE_SEC-06_local,5,5.0,0.5,62.8,47.6,42.6
WEM-60_1_E1_RE_SEC-06_local,6,6.0,0.5,64.6,59.4,55.7
WEM-60_1_E1_RE_SEC-06_local,7,7.0,0.5,63.0,56.5,56.8
WEM-60_1_E1_RE_SEC-06_local,8,8.0,0.5,62.8,55.7,55.3
WEM-60_1_E1_RE_SEC-06_local,9,9.0,0.5,62.7,61.4,61.5
WEM-60_1_E1_RE_SEC-06_local,10,10.0,0.5,62.0,64.8,66.8
WEM-60_1_E1_RE_SEC-06_local,11,11.0,0.5,62.0,65.1,61.7
WEM-60_1_E1_RE_SEC-06_local,12,12.0,0.5,62.0,71.8,68.9
WEM-60_1_E1_RE_SEC-06_local,13,13.0,0.5,62.4,52.4,49.6
WEM-60_1_E1_RE_SEC-06_local,14,14.0,0.5,62.0,66.9,64.7
WEM-60_1_E1_RE_SEC-06_local,15,15.0,0.5,61.6,52.9,55.6
