section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
WEM-60_1_E1_RE_SEC-04_local,1,1.0,0.2,80.5,42.2,41.2
WEM-60_1_E1_RE_SEC-04_local,2,2.0,0.2,69.9,59.0,60.5
WEM-60_1_E1_RE_SEC-04_local,3,3.0,0.2,65.2,65.7,70.2
WEM-60_1_E1_RE_SEC-04_local,4,4.0,0.2,66.7,64.8,68.0
WEM-60_1_E1_RE_SEC-04_local,5,5.0,0.2,62.7,75.8,78.8
WEM-60_1_E1_RE_SEC-04_local,6,6.0,0.2,64.5,67.0,71.0
WEM-60_1_E1_RE_SEC-04_local,7,7.0,0.2,63.4,67.8,68.8
WEM-60_1_E1_RE_SEC-04_local,8,8.0,0.2,63.1,48.7,47.0
WEM-60_1_E1_RE_SEC-04_local,9,9.0,0.2,62.2,55.4,61.1
WEM-60_1_E1_RE_SEC-04_local,10,10.0,0.2,61.7,61.7,52.5
WEM-60_1_E1_RE_SEC-04_local,11,11.0,0.2,61.5,84.6,81.7
WEM-60_1_E1_RE_SEC-04_local,12,12.0,0.2,62.2,76.5,71.9
WEM-60_1_E1_RE_SEC-04_local,13,13.0,0.2,61.9,48.8,46.8
WEM-60_1_E1_RE_SEC-04_local,14,14.0,0.2,62.4,52.7,48.8
WEM-60_1_E1_RE_SEC-04_local,15,15.0,0.2,61.5,51.7,55.1
