section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
WEM-60_1_E1_RE_SEC-07_local,1,1.0,1.0,80.7,61.5,57.8
WEM-60_1_E1_RE_SEC-07_local,2,2.0,1.0,70.0,59.9,58.9
WEM-60_1_E1_RE_SEC-07_local,3,3.0,1.0,67.2,71.4,72.4
WEM-60_1_E1_RE_SEC-07_local,4,4.0,1.0,67.3,50.9,47.5
WEM-60_1_E1_RE_SEC-07_local,5,5.0,1.0,63.2,53.0,51.3
WEM-60_1_E1_RE_SEC-07_local,6,6.0,1.0,64.8,74.6,77.3
WEM-60_1_E1_RE_SEC-07_local,7,7.0,1.0,63.0,52.6,47.5
WEM-60_1_E1_RE_SEC-07_local,8,8.0,1.0,62.7,62.9,61.5
WEM-60_1_E1_RE_SEC-07_local,9,9.0,1.0,62.7,66.8,68.0
WEM-60_1_E1_RE_SEC-07_local,10,10.0,1.0,62.2,59.0,59.5
WEM-60_1_E1_RE_SEC-07_local,11,11.0,1.0,62.5,58.5,55.5
WEM-60_1_E1_RE_SEC-07_local,12,12.0,1.0,62.1,62.1,60.0
WEM-60_1_E1_RE_SEC-07_local,13,13.0,1.0,62.3,57.2,61.8
WEM-60_1_E1_RE_SEC-07_local,14,14.0,1.0,61.7,62.7,65.4
