section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
WEM-60_1_E1_RE_SEC-07_local,1,0.5,0.5,101.2,74.2,63.6
WEM-60_1_E1_RE_SEC-07_local,2,1.0,0.5,80.7,52.8,52.0
WEM-60_1_E1_RE_SEC-07_local,3,1.5,0.5,73.1,65.3,65.1
WEM-60_1_E1_RE_SEC-07_local,4,2.0,0.5,70.0,58.0,56.4
WEM-60_1_E1_RE_SEC-07_local,5,2.5,0.5,67.7,58.7,57.1
WEM-60_1_E1_RE_SEC-07_local,6,3.0,0.5,67.2,75.0,76.4
WEM-60_1_E1_RE_SEC-07_local,7,3.5,0.5,68.8,71.9,72.8
WEM-60_1_E1_RE_SEC-07_local,8,4.0,0.5,67.3,46.1,44.6
WEM-60_1_E1_RE_SEC-07_local,9,4.5,0.5,64.7,48.7,49.3
WEM-60_1_E1_RE_SEC-07_local,10,5.0,0.5,63.2,38.2,37.6
WEM-60_1_E1_RE_SEC-07_local,11,5.5,0.5,62.6,92.6,92.9
WEM-60_1_E1_RE_SEC-07_local,12,6.0,0.5,64.8,75.9,82.8
WEM-60_1_E1_RE_SEC-07_local,13,6.5,0.5,64.3,59.2,61.5
WEM-60_1_E1_RE_SEC-07_local,14,7.0,0.5,63.0,39.9,37.1
WEM-60_1_E1_RE_SEC-07_local,15,7.5,0.5,62.7,62.7,61.2
WEM-60_1_E1_RE_SEC-07_local,16,8.0,0.5,62.7,59.0,55.1
WEM-60_1_E1_RE_SEC-07_local,17,8.5,0.5,62.7,68.9,70.1
WEM-60_1_E1_RE_SEC-07_local,18,9.0,0.5,62.7,68.4,66.6
WEM-60_1_E1_RE_SEC-07_local,19,9.5,0.5,63.2,53.3,54.4
WEM-60_1_E1_RE_SEC-07_local,20,10.0,0.5,62.2,58.9,60.1
WEM-60_1_E1_RE_SEC-07_local,21,10.5,0.5,62.8,73.6,70.9
WEM-60_1_E1_RE_SEC-07_local,22,11.0,0.5,62.5,52.1,51.0
WEM-60_1_E1_RE_SEC-07_local,23,11.5,0.5,62.4,61.1,61.7
WEM-60_1_E1_RE_SEC-07_local,24,12.0,0.5,62.1,58.6,56.2
WEM-60_1_E1_RE_SEC-07_local,25,12.5,0.5,62.4,65.6,64.9
WEM-60_1_E1_RE_SEC-07_local,26,13.0,0.5,62.3,66.9,66.1
WEM-60_1_E1_RE_SEC-07_local,27,13.5,0.5,62.0,42.1,43.7
WEM-60_1_E1_RE_SEC-07_local,28,14.0,0.5,61.7,68.5,71.2
WEM-60_1_E1_RE_SEC-07_local,29,14.5,0.5,62.0,56.5,54.7
WEM-60_1_E1_RE_SEC-07_local,30,15.0,0.5,61.6,54.4,57.9
