section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
WEM-60_1_E1_RE_SEC-07_local,1,1.0,0.5,80.7,52.8,52.0
WEM-60_1_E1_RE_SEC-07_local,2,2.0,0.5,70.0,58.0,56.4
WEM-60_1_E1_RE_SEC-07_local,3,3.0,0.5,67.2,75.0,76.4
WEM-60_1_E1_RE_SEC-07_local,4,4.0,0.5,67.3,46.1,44.6
WEM-60_1_E1_RE_SEC-07_local,5,5.0,0.5,63.2,38.2,37.6
WEM-60_1_E1_RE_SEC-07_local,6,6.0,0.5,64.8,75.9,82.8
WEM-60_1_E1_RE_SEC-07_local,7,7.0,0.5,63.0,39.9,37.1
WEM-60_1_E1_RE_SEC-07_local,8,8.0,0.5,62.7,59.0,55.1
WEM-60_1_E1_RE_SEC-07_local,9,9.0,0.5,62.7,68.4,66.6
WEM-60_1_E1_RE_SEC-07_local,10,10.0,0.5,62.2,58.9,60.1
WEM-60_1_E1_RE_SEC-07_local,11,11.0,0.5,62.5,52.1,51.0
WEM-60_1_E1_RE_SEC-07_local,12,12.0,0.5,62.1,58.6,56.2
WEM-60_1_E1_RE_SEC-07_local,13,13.0,0.5,62.3,66.9,66.1
WEM-60_1_E1_RE_SEC-07_local,14,14.0,0.5,61.7,68.5,71.2
WEM-60_1_E1_RE_SEC-07_local,15,15.0,0.5,61.6,54.4,57.9
