section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
WEM-60_1_E1_RE_SEC-09_local,1,1.0,0.2,76.5,61.4,58.6
WEM-60_1_E1_RE_SEC-09_local,2,2.0,0.2,69.8,42.2,42.5
WEM-60_1_E1_RE_SEC-09_local,3,3.0,0.2,66.4,64.5,64.2
WEM-60_1_E1_RE_SEC-09_local,4,4.0,0.2,65.5,60.2,59.4
WEM-60_1_E1_RE_SEC-09_local,5,5.0,0.2,63.5,65.9,68.1
WEM-60_1_E1_RE_SEC-09_local,6,6.0,0.2,64.3,88.4,88.0
WEM-60_1_E1_RE_SEC-09_local,7,7.0,0.2,63.0,45.4,46.7
WEM-60_1_E1_RE_SEC-09_local,8,8.0,0.2,63.1,67.9,66.5
WEM-60_1_E1_RE_SEC-09_local,9,9.0,0.2,63.1,48.2,40.4
WEM-60_1_E1_RE_SEC-09_local,10,10.0,0.2,62.2,60.6,57.8
WEM-60_1_E1_RE_SEC-09_local,11,11.0,0.2,62.6,66.8,67.3
WEM-60_1_E1_RE_SEC-09_local,12,12.0,0.2,62.1,52.6,49.4
WEM-60_1_E1_RE_SEC-09_local,13,13.0,0.2,62.1,69.4,72.3
WEM-60_1_E1_RE_SEC-09_local,14,14.0,0.2,61.9,61.4,58.3
WEM-60_1_E1_RE_SEC-09_local,15,15.0,0.2,61.7,60.8,49.5
