section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
EAP-flake_1_E1_RE_SEC-02_local,1,1.0,0.2,68.2,45.5,45.1
EAP-flake_1_E1_RE_SEC-02_local,2,2.0,0.2,51.6,39.2,38.6
EAP-flake_1_E1_RE_SEC-02_local,3,3.0,0.2,44.9,31.8,41.3
EAP-flake_1_E1_RE_SEC-02_local,4,4.0,0.2,40.8,31.9,38.6
EAP-flake_1_E1_RE_SEC-02_local,5,5.0,0.2,39.9,31.9,35.7
EAP-flake_1_E1_RE_SEC-02_local,6,6.0,0.2,36.6,3.0,9.3
EAP-flake_1_E1_RE_SEC-02_local,7,7.0,0.2,29.6,13.5,11.0
EAP-flake_1_E1_RE_SEC-02_local,8,8.0,0.2,24.0,12.6,15.0
EAP-flake_1_E1_RE_SEC-02_local,9,9.0,0.2,19.5,16.6,9.4
EAP-flake_1_E1_RE_SEC-02_local,10,10.0,0.2,12.9,80.0,89.6
