section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
EAP-flake_1_E1_RE_SEC-04_local,1,0.5,0.5,100.2,80.1,79.8
EAP-flake_1_E1_RE_SEC-04_local,2,1.0,0.5,86.9,60.6,62.1
EAP-flake_1_E1_RE_SEC-04_local,3,1.5,0.5,78.1,51.9,50.9
EAP-flake_1_E1_RE_SEC-04_local,4,2.0,0.5,72.0,60.3,55.4
EAP-flake_1_E1_RE_SEC-04_local,5,2.5,0.5,66.1,35.2,37.5
EAP-flake_1_E1_RE_SEC-04_local,6,3.0,0.5,59.7,29.6,28.7
EAP-flake_1_E1_RE_SEC-04_local,7,3.5,0.5,54.9,33.7,29.9
EAP-flake_1_E1_RE_SEC-04_local,8,4.0,0.5,52.2,28.7,28.1
EAP-flake_1_E1_RE_SEC-04_local,9,4.5,0.5,49.6,31.9,34.2
EAP-flake_1_E1_RE_SEC-04_local,10,5.0,0.5,47.7,25.1,24.5
EAP-flake_1_E1_RE_SEC-04_local,11,5.5,0.5,45.9,36.7,38.5
EAP-flake_1_E1_RE_SEC-04_local,12,6.0,0.5,44.7,24.8,29.5
EAP-flake_1_E1_RE_SEC-04_local,13,6.5,0.5,43.8,32.9,28.6
EAP-flake_1_E1_RE_SEC-04_local,14,7.0,0.5,43.1,38.4,33.2
EAP-flake_1_E1_RE_SEC-04_local,15,7.5,0.5,42.6,40.8,36.2
EAP-flake_1_E1_RE_SEC-04_local,16,8.0,0.5,42.4,36.9,35.9
EAP-flake_1_E1_RE_SEC-04_local,17,8.5,0.5,42.3,17.3,24.8
EAP-flake_1_E1_RE_SEC-04_local,18,9.0,0.5,39.5,13.2,18.1
EAP-flake_1_E1_RE_SEC-04_local,19,9.5,0.5,36.6,23.5,161.0
EAP-flake_1_E1_RE_SEC-04_local,20,10.0,0.5,34.3,10.9,11.3
EAP-flake_1_E1_RE_SEC-04_local,21,10.5,0.5,32.1,16.9,163.9
EAP-flake_1_E1_RE_SEC-04_local,22,11.0,0.5,29.8,8.7,5.5
EAP-flake_1_E1_RE_SEC-04_local,23,11.5,0.5,28.0,11.7,165.2
EAP-flake_1_E1_RE_SEC-04_local,24,12.0,0.5,26.4,5.2,7.8
EAP-flake_1_E1_RE_SEC-04_local,25,12.5,0.5,24.9,16.3,16.2
EAP-flake_1_E1_RE_SEC-04_local,26,13.0,0.5,23.5,2.3,2.2
EAP-flake_1_E1_RE_SEC-04_local,27,13.5,0.5,22.1,13.2,9.8
EAP-flake_1_E1_RE_SEC-04_local,28,14.0,0.5,21.0,1.7,2.6
EAP-flake_1_E1_RE_SEC-04_local,29,14.5,0.5,20.1,12.9,168.6
EAP-flake_1_E1_RE_SEC-04_local,30,15.0,0.5,19.0,9.1,169.5
EAP-flake_1_E1_RE_SEC-04_local,31,15.5,0.5,17.6,38.1,37.8
