section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
EAP-flake_1_E1_RE_SEC-06_local,1,0.2,0.5,118.1,83.8,88.5
EAP-flake_1_E1_RE_SEC-06_local,2,0.4,0.5,86.6,60.3,58.0
EAP-flake_1_E1_RE_SEC-06_local,3,0.6,0.5,75.3,58.9,58.8
EAP-flake_1_E1_RE_SEC-06_local,4,0.8,0.5,71.6,60.4,61.5
EAP-flake_1_E1_RE_SEC-06_local,5,1.0,0.5,69.6,54.7,56.1
EAP-flake_1_E1_RE_SEC-06_local,6,1.2,0.5,66.0,44.0,45.8
EAP-flake_1_E1_RE_SEC-06_local,7,1.4,0.5,62.3,36.7,37.0
EAP-flake_1_E1_RE_SEC-06_local,8,1.6,0.5,58.5,37.6,37.2
EAP-flake_1_E1_RE_SEC-06_local,9,1.8,0.5,56.2,38.5,39.6
EAP-flake_1_E1_RE_SEC-06_local,10,2.0,0.5,54.3,39.6,40.0
EAP-flake_1_E1_RE_SEC-06_local,11,2.2,0.5,53.3,36.9,38.3
EAP-flake_1_E1_RE_SEC-06_local,12,2.4,0.5,51.5,31.8,31.4
EAP-flake_1_E1_RE_SEC-06_local,13,2.6,0.5,50.0,31.6,30.5
EAP-flake_1_E1_RE_SEC-06_local,14,2.8,0.5,48.6,32.9,33.8
EAP-flake_1_E1_RE_SEC-06_local,15,3.0,0.5,47.7,31.8,31.8
EAP-flake_1_E1_RE_SEC-06_local,16,3.2,0.5,46.5,30.9,30.6
EAP-flake_1_E1_RE_SEC-06_local,17,3.4,0.5,45.5,32.1,32.6
EAP-flake_1_E1_RE_SEC-06_local,18,3.6,0.5,44.9,32.1,32.3
EAP-flake_1_E1_RE_SEC-06_local,19,3.8,0.5,44.2,30.7,31.1
EAP-flake_1_E1_RE_SEC-06_local,20,4.0,0.5,43.4,30.2,28.7
EAP-flake_1_E1_RE_SEC-06_local,21,4.2,0.5,42.7,28.9,29.9
EAP-flake_1_E1_RE_SEC-06_local,22,4.4,0.5,42.1,32.0,30.9
EAP-flake_1_E1_RE_SEC-06_local,23,4.6,0.5,41.7,33.4,34.0
EAP-flake_1_E1_RE_SEC-06_local,24,4.8,0.5,41.4,33.0,35.0
EAP-flake_1_E1_RE_SEC-06_local,25,5.0,0.5,41.1,31.1,30.3
EAP-flake_1_E1_RE_SEC-06_local,26,5.2,0.5,40.5,30.0,30.5
EAP-flake_1_E1_RE_SEC-06_local,27,5.4,0.5,40.2,30.8,31.5
EAP-flake_1_E1_RE_SEC-06_local,28,5.6,0.5,39.9,33.1,31.8
EAP-flake_1_E1_RE_SEC-06_local,29,5.8,0.5,39.7,33.6,34.4
EAP-flake_1_E1_RE_SEC-06_local,30,6.0,0.5,39.5,31.8,29.0
EAP-flake_1_E1_RE_SEC-06_local,31,6.2,0.5,39.0,30.4,31.4
EAP-flake_1_E1_RE_SEC-06_local,32,6.4,0.5,39.0,34.3,33.8
EAP-flake_1_E1_RE_SEC-06_local,33,6.6,0.5,38.7,30.3,30.2
EAP-flake_1_E1_RE_SEC-06_local,34,6.8,0.5,38.4,34.4,33.8
EAP-flake_1_E1_RE_SEC-06_local,35,7.0,0.5,38.5,37.1,39.4
EAP-flake_1_E1_RE_SEC-06_local,36,7.2,0.5,38.4,29.8,28.7
EAP-flake_1_E1_RE_SEC-06_local,37,7.4,0.5,38.0,31.0,29.7
EAP-flake_1_E1_RE_SEC-06_local,38,7.6,0.5,38.1,34.8,40.3
EAP-flake_1_E1_RE_SEC-06_local,39,7.8,0.5,38.0,33.7,30.6
EAP-flake_1_E1_RE_SEC-06_local,40,8.0,0.5,37.7,30.4,32.1
EAP-flake_1_E1_RE_SEC-06_local,41,8.2,0.5,37.6,41.2,42.2
EAP-flake_1_E1_RE_SEC-06_local,42,8.4,0.5,37.9,38.8,39.6
EAP-flake_1_E1_RE_SEC-06_local,43,8.6,0.5,37.7,37.2,38.5
EAP-flake_1_E1_RE_SEC-06_local,44,8.8,0.5,38.0,32.7,39.0
EAP-flake_1_E1_RE_SEC-06_local,45,9.0,0.5,37.8,29.6,28.5
EAP-flake_1_E1_RE_SEC-06_local,46,9.2,0.5,37.6,24.6,29.5
EAP-flake_1_E1_RE_SEC-06_local,47,9.4,0.5,37.3,23.1,28.5
EAP-flake_1_E1_RE_SEC-06_local,48,9.6,0.5,37.3,0.1,1.0
EAP-flake_1_E1_RE_SEC-06_local,49,9.8,0.5,36.0,13.5,159.3
EAP-flake_1_E1_RE_SEC-06_local,50,10.0,0.5,35.3,10.2,8.5
EAP-flake_1_E1_RE_SEC-06_local,51,10.2,0.5,34.5,11.5,12.4
EAP-flake_1_E1_RE_SEC-06_local,52,10.4,0.5,33.6,8.7,11.9
EAP-flake_1_E1_RE_SEC-06_local,53,10.6,0.5,32.8,12.7,9.8
EAP-flake_1_E1_RE_SEC-06_local,54,10.8,0.5,31.9,10.9,14.8
EAP-flake_1_E1_RE_SEC-06_local,55,11.0,0.5,31.1,10.6,7.5
EAP-flake_1_E1_RE_SEC-06_local,56,11.2,0.5,30.5,3.9,5.0
EAP-flake_1_E1_RE_SEC-06_local,57,11.4,0.5,29.9,11.3,8.4
EAP-flake_1_E1_RE_SEC-06_local,58,11.6,0.5,29.2,13.6,15.6
EAP-flake_1_E1_RE_SEC-06_local,59,11.8,0.5,28.4,13.1,14.9
EAP-flake_1_E1_RE_SEC-06_local,60,12.0,0.5,27.8,10.9,11.0
EAP-flake_1_E1_RE_SEC-06_local,61,12.2,0.5,27.1,8.7,10.8
EAP-flake_1_E1_RE_SEC-06_local,62,12.4,0.5,26.5,13.2,11.2
EAP-flake_1_E1_RE_SEC-06_local,63,12.6,0.5,25.9,11.2,12.8
EAP-flake_1_E1_RE_SEC-06_local,64,12.8,0.5,25.3,11.4,9.3
EAP-flake_1_E1_RE_SEC-06_local,65,13.0,0.5,24.7,9.9,12.4
EAP-flake_1_E1_RE_SEC-06_local,66,13.2,0.5,24.2,15.4,12.9
EAP-flake_1_E1_RE_SEC-06_local,67,13.4,0.5,23.6,14.4,17.6
EAP-flake_1_E1_RE_SEC-06_local,68,13.6,0.5,23.0,15.6,14.3
EAP-flake_1_E1_RE_SEC-06_local,69,13.8,0.5,22.5,10.4,11.3
EAP-flake_1_E1_RE_SEC-06_local,70,14.0,0.5,22.0,15.6,162.8
EAP-flake_1_E1_RE_SEC-06_local,71,14.2,0.5,21.3,14.0,16.5
EAP-flake_1_E1_RE_SEC-06_local,72,14.4,0.5,20.9,11.8,11.2
EAP-flake_1_E1_RE_SEC-06_local,73,14.6,0.5,20.4,15.1,13.7
EAP-flake_1_E1_RE_SEC-06_local,74,14.8,0.5,19.9,19.5,163.6
EAP-flake_1_E1_RE_SEC-06_local,75,15.0,0.5,19.4,14.8,15.3
