section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
EAP-flake_1_E1_RE_SEC-08_local,1,0.5,0.5,55.3,40.6,40.4
EAP-flake_1_E1_RE_SEC-08_local,2,1.0,0.5,47.4,39.1,39.5
EAP-flake_1_E1_RE_SEC-08_local,3,1.5,0.5,44.0,36.6,36.6
EAP-flake_1_E1_RE_SEC-08_local,4,2.0,0.5,41.9,34.9,35.2
EAP-flake_1_E1_RE_SEC-08_local,5,2.5,0.5,40.4,34.7,34.4
EAP-flake_1_E1_RE_SEC-08_local,6,3.0,0.5,39.5,35.1,34.7
EAP-flake_1_E1_RE_SEC-08_local,7,3.5,0.5,38.9,36.1,37.4
EAP-flake_1_E1_RE_SEC-08_local,8,4.0,0.5,38.3,31.9,31.6
EAP-flake_1_E1_RE_SEC-08_local,9,4.5,0.5,37.6,33.0,33.0
EAP-flake_1_E1_RE_SEC-08_local,10,5.0,0.5,37.1,32.0,31.3
EAP-flake_1_E1_RE_SEC-08_local,11,5.5,0.5,36.8,32.6,32.2
EAP-flake_1_E1_RE_SEC-08_local,12,6.0,0.5,36.3,33.0,33.4
EAP-flake_1_E1_RE_SEC-08_local,13,6.5,0.5,36.0,32.8,33.2
EAP-flake_1_E1_RE_SEC-08_local,14,7.0,0.5,35.9,35.5,34.5
EAP-flake_1_E1_RE_SEC-08_local,15,7.5,0.5,35.9,35.8,35.3
EAP-flake_1_E1_RE_SEC-08_local,16,8.0,0.5,35.9,36.2,37.8
EAP-flake_1_E1_RE_SEC-08_local,17,8.5,0.5,35.1,2.4,6.9
EAP-flake_1_E1_RE_SEC-08_local,18,9.0,0.5,32.6,11.4,11.0
EAP-flake_1_E1_RE_SEC-08_local,19,9.5,0.5,30.5,9.2,8.2
EAP-flake_1_E1_RE_SEC-08_local,20,10.0,0.5,28.5,9.3,9.0
EAP-flake_1_E1_RE_SEC-08_local,21,10.5,0.5,26.7,8.2,7.9
EAP-flake_1_E1_RE_SEC-08_local,22,11.0,0.5,25.1,8.3,8.1
EAP-flake_1_E1_RE_SEC-08_local,23,11.5,0.5,23.7,8.8,9.4
EAP-flake_1_E1_RE_SEC-08_local,24,12.0,0.5,22.3,6.1,6.7
EAP-flake_1_E1_RE_SEC-08_local,25,12.5,0.5,21.2,5.2,5.1
EAP-flake_1_E1_RE_SEC-08_local,26,13.0,0.5,20.1,5.3,5.1
EAP-flake_1_E1_RE_SEC-08_local,27,13.5,0.5,19.2,7.3,8.2
EAP-flake_1_E1_RE_SEC-08_local,28,14.0,0.5,18.2,7.2,7.2
EAP-flake_1_E1_RE_SEC-08_local,29,14.5,0.5,17.4,2.9,1.4
