section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
EAP-flake_1_E1_RE_SEC-09_local,1,0.5,0.5,60.3,41.9,42.1
EAP-flake_1_E1_RE_SEC-09_local,2,1.0,0.5,48.8,38.7,38.9
EAP-flake_1_E1_RE_SEC-09_local,3,1.5,0.5,44.7,36.4,36.4
EAP-flake_1_E1_RE_SEC-09_local,4,2.0,0.5,42.3,35.7,35.3
EAP-flake_1_E1_RE_SEC-09_local,5,2.5,0.5,41.0,35.3,34.5
EAP-flake_1_E1_RE_SEC-09_local,6,3.0,0.5,40.1,35.0,34.8
EAP-flake_1_E1_RE_SEC-09_local,7,3.5,0.5,39.4,36.0,36.0
EAP-flake_1_E1_RE_SEC-09_local,8,4.0,0.5,39.0,35.9,36.0
EAP-flake_1_E1_RE_SEC-09_local,9,4.5,0.5,38.5,34.8,34.7
EAP-flake_1_E1_RE_SEC-09_local,10,5.0,0.5,38.2,35.4,36.0
EAP-flake_1_E1_RE_SEC-09_local,11,5.5,0.5,37.8,35.8,36.1
EAP-flake_1_E1_RE_SEC-09_local,12,6.0,0.5,37.8,36.3,36.0
EAP-flake_1_E1_RE_SEC-09_local,13,6.5,0.5,37.6,35.0,35.0
EAP-flake_1_E1_RE_SEC-09_local,14,7.0,0.5,37.5,36.3,36.4
EAP-flake_1_E1_RE_SEC-09_local,15,7.5,0.5,37.4,34.2,35.4
EAP-flake_1_E1_RE_SEC-09_local,16,8.0,0.5,36.7,20.5,21.8
EAP-flake_1_E1_RE_SEC-09_local,17,8.5,0.5,35.7,11.8,14.2
EAP-flake_1_E1_RE_SEC-09_local,18,9.0,0.5,33.8,7.9,8.8
EAP-flake_1_E1_RE_SEC-09_local,19,9.5,0.5,31.6,10.8,10.3
EAP-flake_1_E1_RE_SEC-09_local,20,10.0,0.5,29.4,12.0,13.7
EAP-flake_1_E1_RE_SEC-09_local,21,10.5,0.5,27.5,14.9,15.8
EAP-flake_1_E1_RE_SEC-09_local,22,11.0,0.5,25.6,15.5,15.3
EAP-flake_1_E1_RE_SEC-09_local,23,11.5,0.5,23.9,13.0,12.9
EAP-flake_1_E1_RE_SEC-09_local,24,12.0,0.5,22.3,12.7,12.6
EAP-flake_1_E1_RE_SEC-09_local,25,12.5,0.5,20.9,12.8,12.5
EAP-flake_1_E1_RE_SEC-09_local,26,13.0,0.5,19.7,12.0,12.0
EAP-flake_1_E1_RE_SEC-09_local,27,13.5,0.5,18.4,13.6,14.1
EAP-flake_1_E1_RE_SEC-09_local,28,14.0,0.5,17.2,14.1,14.5
EAP-flake_1_E1_RE_SEC-09_local,29,14.5,0.5,16.1,10.8,10.6
