section,angel_number,dist to origin on curve [mm],segment on section [mm],angle 1 (3-points) [degree],angle 2 (2-constructed-lines) [degree],angle 3 (2-BestFit-lines) [degree]
EAP-flake_1_E1_RE_SEC-02_local,1,1.0,1.0,68.2,48.1,54.6
EAP-flake_1_E1_RE_SEC-02_local,2,2.0,1.0,51.6,31.1,32.4
EAP-flake_1_E1_RE_SEC-02_local,3,3.0,1.0,44.9,32.3,30.2
EAP-flake_1_E1_RE_SEC-02_local,4,4.0,1.0,40.8,35.4,35.4
EAP-flake_1_E1_RE_SEC-02_local,5,5.0,1.0,39.9,34.4,40.5
EAP-flake_1_E1_RE_SEC-02_local,6,6.0,1.0,36.6,9.7,13.5
EAP-flake_1_E1_RE_SEC-02_local,7,7.0,1.0,29.6,10.0,11.7
EAP-flake_1_E1_RE_SEC-02_local,8,8.0,1.0,24.0,18.0,15.6
EAP-flake_1_E1_RE_SEC-02_local,9,9.0,1.0,19.5,24.5,19.0
